Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,4,218,6706,3504,2292,353,.597,.229,.749,30.8,16.1,10.5,1.6,22.4,.160,1.1,5.2
2,2,SAC,Marvin Bagley III,Duke,4,152,3759,2040,1123,133,.495,.296,.666,24.7,13.4,7.4,0.9,6.5,.083,-2.3,-0.3
3,3,ATL,Luka Dončić,,4,246,8295,6409,2093,1947,.455,.331,.736,33.7,26.1,8.5,7.9,26.3,.152,6.5,17.8
4,4,MEM,Jaren Jackson Jr.,Michigan State,4,188,5115,2967,970,220,.456,.353,.779,27.2,15.8,5.2,1.2,11.7,.110,0.0,2.6
5,5,DAL,Trae Young,Oklahoma,4,260,8683,6482,1016,2327,.437,.351,.868,33.4,24.9,3.9,9.0,22.9,.126,2.7,10.3
6,6,ORL,Mo Bamba,Texas,4,206,3697,1500,1204,180,.469,.329,.683,17.9,7.3,5.8,0.9,8.6,.112,-0.2,1.7
7,7,CHI,Wendell Carter Jr.,Duke,4,194,5301,2305,1699,375,.510,.294,.737,27.3,11.9,8.8,1.9,12.8,.116,-0.8,1.5
8,8,CLE,Collin Sexton,Alabama,4,218,7179,4356,663,720,.458,.378,.827,32.9,20.0,3.0,3.3,5.5,.037,-2.5,-0.9
9,9,NYK,Kevin Knox,Kentucky,4,205,3968,1611,615,170,.368,.341,.702,19.4,7.9,3.0,0.8,-0.5,-.006,-4.7,-2.7
10,10,PHI,Mikal Bridges,Villanova,4,288,8934,3136,1132,589,.506,.372,.831,31.0,10.9,3.9,2.0,22.4,.120,1.0,6.8
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,4,233,7375,4131,1030,965,.470,.345,.805,31.7,17.7,4.4,4.1,16.6,.108,1.7,6.9
12,12,LAC,Miles Bridges,Michigan State,4,272,7829,3495,1523,576,.468,.340,.809,28.8,12.8,5.6,2.1,13.9,.085,-0.5,3.0
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,14.2,4.5,1.8,1.2,-0.1,-.003,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,3,125,3080,1763,763,133,.518,.419,.795,24.6,14.1,6.1,1.1,9.7,.150,2.1,3.1
15,15,WAS,Troy Brown Jr.,Oregon,4,206,3941,1353,807,342,.426,.329,.754,19.1,6.6,3.9,1.7,4.6,.056,-2.1,-0.1
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,4,182,4223,1602,845,437,.421,.341,.752,23.2,8.8,4.6,2.4,8.7,.098,-0.1,2.0
18,18,SAS,Lonnie Walker IV,Miami (FL),4,195,3942,1775,459,305,.414,.342,.781,20.2,9.1,2.4,1.6,1.5,.018,-3.4,-1.4
19,19,ATL,Kevin Huerter,Maryland,4,254,7509,2857,878,818,.430,.376,.787,29.6,11.2,3.5,3.2,8.5,.054,-1.4,1.2
20,20,MIN,Josh Okogie,Georgia Tech,4,229,4913,1506,704,272,.400,.273,.756,21.5,6.6,3.1,1.2,4.9,.048,-3.0,-1.2
21,21,UTA,Grayson Allen,Duke,4,177,3804,1655,436,261,.425,.386,.835,21.5,9.4,2.5,1.5,7.2,.090,-0.9,1.1
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,4,228,4188,1686,388,529,.415,.374,.825,18.4,7.4,1.7,2.3,4.2,.048,-2.4,-0.4
24,24,POR,Anfernee Simons,,4,209,4307,2095,453,411,.425,.388,.828,20.6,10.0,2.2,2.0,4.4,.049,-2.2,-0.2
25,25,LAL,Moritz Wagner,Michigan,4,178,2567,1252,560,179,.486,.320,.812,14.4,7.0,3.1,1.0,4.8,.090,-1.9,0.1
26,26,PHI,Landry Shamet,Wichita State,4,241,5596,2132,438,389,.407,.389,.839,23.2,8.8,1.8,1.6,9.6,.083,-1.9,0.2
27,27,BOS,Robert Williams,Texas A&M,4,164,3183,1157,1066,231,.722,.000,.662,19.4,7.1,6.5,1.4,16.7,.251,5.0,5.5
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,4,205,2829,882,347,273,.373,.369,.800,13.8,4.3,1.7,1.3,3.3,.056,-1.4,0.4
