Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,.438,.347,.791,33.0,17.5,4.6,4.0,24.6,.079,0.9,10.8
3,3,WAS,Otto Porter Jr.,Georgetown,9,492,12773,5242,2457,751,.478,.400,.793,26.0,10.7,5.0,1.5,35.3,.133,1.8,12.3
4,4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,.520,.221,.731,22.2,8.5,6.0,1.4,32.2,.141,-0.5,4.1
5,5,PHO,Alex Len,Maryland,9,565,10711,4345,3333,485,.507,.331,.683,19.0,7.7,5.9,0.9,21.5,.097,-1.9,0.3
6,6,NOH,Nerlens Noel,Kentucky,8,450,10086,3303,2789,491,.549,.154,.655,22.4,7.3,6.2,1.1,28.2,.134,0.9,7.5
7,7,SAC,Ben McLemore,Kansas,9,536,12073,4749,1235,544,.414,.363,.776,22.5,8.9,2.3,1.0,8.7,.035,-3.1,-3.2
8,8,DET,Kentavious Caldwell-Pope,Georgia,9,664,19371,7582,2080,1108,.418,.358,.811,29.2,11.4,3.1,1.7,33.5,.083,-0.8,5.8
9,9,MIN,Trey Burke,Michigan,9,488,10306,4759,873,1511,.412,.345,.812,21.1,9.8,1.8,3.1,13.2,.062,-1.2,1.9
10,10,POR,CJ McCollum,Lehigh,9,571,17998,10906,1966,1931,.454,.397,.819,31.5,19.1,3.4,3.4,39.2,.105,1.3,14.9
11,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,.402,.255,.706,25.3,10.3,4.4,4.4,6.6,.032,-1.2,1.9
12,12,OKC,Steven Adams,Pitt,9,647,17369,6044,5127,921,.587,.077,.548,26.8,9.3,7.9,1.4,54.2,.150,0.5,10.8
13,13,DAL,Kelly Olynyk,Gonzaga,9,595,13146,6019,3033,1207,.475,.365,.780,22.1,10.1,5.1,2.0,34.4,.125,0.9,9.4
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,15,MIL,Giannis Antetokounmpo,,9,640,20818,13817,5952,2940,.533,.289,.718,32.5,21.6,9.3,4.6,84.8,.196,5.9,41.6
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,17,ATL,Dennis Schröder,,9,612,16226,8708,1806,2864,.435,.337,.832,26.5,14.2,3.0,4.7,23.2,.068,-1.2,3.3
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,20,CHI,Tony Snell,New Mexico,9,591,12917,3626,1359,664,.432,.395,.845,21.9,6.1,2.3,1.1,18.5,.069,-2.0,0.1
21,21,UTA,Gorgui Dieng,Louisville,9,592,12237,4453,3421,781,.500,.366,.791,20.7,7.5,5.8,1.3,30.6,.120,0.4,7.3
22,22,BRK,Mason Plumlee,Duke,9,642,14339,5365,4244,1548,.582,.049,.558,22.3,8.4,6.6,2.4,42.9,.144,1.3,11.9
23,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3
24,24,NYK,Tim Hardaway Jr.,Michigan,9,586,15837,8149,1650,1095,.422,.358,.812,27.0,13.9,2.8,1.9,26.0,.079,-0.8,4.9
25,25,LAC,Reggie Bullock,UNC,9,418,9219,3228,1031,495,.430,.387,.844,22.1,7.7,2.5,1.2,17.4,.090,-0.7,3.0
26,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
27,27,DEN,Rudy Gobert,,9,591,17657,7284,6833,789,.650,.000,.635,29.9,12.3,11.6,1.3,83.2,.226,4.0,26.9
28,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
30,30,PHO,Nemanja Nedović,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
31,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
32,32,OKC,Álex Abrines,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
33,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
34,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
35,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2
36,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
38,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
39,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3
40,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1
41,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2
42,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4
44,44,DAL,Mike Muscala,Bucknell,9,432,6694,2666,1371,378,.458,.377,.847,15.5,6.2,3.2,0.9,16.8,.120,0.2,3.8
45,45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
47,47,ATL,Raul Neto,,7,369,5969,2206,583,771,.453,.366,.801,16.2,6.0,1.6,2.1,9.7,.078,-1.6,0.6
48,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
49,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1
50,50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,.457,.360,.797,20.3,6.7,3.3,0.9,16.2,.097,-1.5,0.9
51,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5
53,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
56,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2
57,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,
