Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,2,128,4249,2588,600,416,.424,.337,.772,33.2,20.2,4.7,3.3,3.8,.042,-0.8,1.3
2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,.519,.316,.628,21.4,11.5,5.8,0.7,0.7,.042,-5.0,-0.6
3,3,CHO,LaMelo Ball,,2,107,3300,1919,694,728,.426,.363,.813,30.8,17.9,6.5,6.8,6.9,.101,2.4,3.7
4,4,CHI,Patrick Williams,Florida State,2,76,2108,688,338,102,.486,.396,.736,27.7,9.1,4.4,1.3,2.7,.061,-2.4,-0.2
5,5,CLE,Isaac Okoro,Auburn,2,113,3506,1054,354,212,.436,.302,.741,31.0,9.3,3.1,1.9,3.8,.052,-3.8,-1.6
6,6,ATL,Onyeka Okongwu,USC,2,79,1212,483,317,52,.691,.000,.685,15.3,6.1,4.0,0.7,4.5,.178,0.0,0.6
7,7,DET,Killian Hayes,,2,76,1894,479,221,346,.358,.266,.795,24.9,6.3,2.9,4.6,-1.2,-.029,-5.2,-1.5
8,8,NYK,Obi Toppin,Dayton,2,118,1525,655,335,77,.505,.260,.741,12.9,5.6,2.8,0.7,3.5,.110,-0.5,0.6
9,9,WAS,Deni Avdija,,2,115,2685,806,575,164,.429,.312,.730,23.3,7.0,5.0,1.4,3.4,.061,-2.2,-0.1
10,10,PHO,Jalen Smith,Maryland,2,63,702,318,225,18,.480,.310,.767,11.1,5.0,3.6,0.3,1.8,.123,-2.1,0.0
11,11,SAS,Devin Vassell,Florida State,2,116,2470,973,407,155,.423,.344,.826,21.3,8.4,3.5,1.3,3.9,.075,-1.0,0.7
12,12,SAC,Tyrese Haliburton,Iowa State,2,116,3768,1622,404,759,.469,.415,.844,32.5,14.0,3.5,6.5,8.8,.112,2.2,4.0
13,13,NOP,Kira Lewis Jr.,Alabama,2,78,1245,484,110,173,.391,.298,.841,16.0,6.2,1.4,2.2,0.7,.028,-3.6,-0.5
14,14,BOS,Aaron Nesmith,Vanderbilt,2,90,1137,369,204,40,.406,.312,.809,12.6,4.1,2.3,0.4,1.2,.049,-4.2,-0.6
15,15,ORL,Cole Anthony,UNC,2,95,2848,1445,496,472,.396,.335,.846,30.0,15.2,5.2,5.0,1.2,.020,-2.1,-0.1
16,16,POR,Isaiah Stewart,Washington,2,122,2859,988,912,117,.533,.284,.691,23.4,8.1,7.5,1.0,6.3,.106,-2.3,-0.2
17,17,MIN,Aleksej Pokusevski,,2,90,1850,631,410,154,.364,.277,.689,20.6,7.0,4.6,1.7,-1.8,-.048,-4.9,-1.4
18,18,DAL,Josh Green,Arizona,2,86,1113,306,181,88,.494,.250,.655,12.9,3.6,2.1,1.0,2.4,.103,-1.7,0.1
19,19,BRK,Saddiq Bey,Villanova,2,132,3986,1845,680,268,.398,.362,.841,30.2,14.0,5.2,2.0,5.9,.071,-0.6,1.5
20,20,MIA,Precious Achiuwa,Memphis,2,113,1939,716,568,90,.473,.324,.538,17.2,6.3,5.0,0.8,2.9,.071,-3.5,-0.8
21,21,PHI,Tyrese Maxey,Kentucky,2,114,2820,1399,293,361,.471,.365,.870,24.7,12.3,2.6,3.2,7.0,.120,-0.1,1.3
22,22,DEN,Zeke Nnaji,Arizona,2,81,1048,401,209,25,.518,.452,.649,12.9,5.0,2.6,0.3,2.8,.130,-1.7,0.1
23,23,NYK,Leandro Bolmaro,,1,25,188,28,35,11,.281,.167,.889,7.5,1.1,1.4,0.4,-0.1,-.021,-6.7,-0.2
24,24,MIL,R.J. Hampton,,2,95,1744,678,308,194,.412,.345,.641,18.4,7.1,3.2,2.0,0.4,.010,-3.4,-0.6
25,25,OKC,Immanuel Quickley,Kentucky,2,121,2457,1274,271,294,.383,.360,.902,20.3,10.5,2.2,2.4,4.7,.092,-0.7,0.8
26,26,BOS,Payton Pritchard,Oregon,2,119,1948,782,244,218,.423,.396,.915,16.4,6.6,2.1,1.8,3.8,.095,-0.8,0.6
27,27,UTA,Udoka Azubuike,Kansas,2,30,235,88,75,0,.698,,.667,7.8,2.9,2.5,0.0,0.7,.140,-2.4,0.0
28,28,LAL,Jaden McDaniels,Washington,2,123,3061,967,485,141,.448,.333,.714,24.9,7.9,3.9,1.1,3.4,.053,-3.3,-1.0
29,29,TOR,Malachi Flynn,San Diego State,2,85,1341,495,167,191,.378,.314,.757,15.8,5.8,2.0,2.2,1.5,.052,-2.6,-0.2
30,30,BOS,Desmond Bane,TCU,2,127,3296,1659,470,269,.457,.417,.878,26.0,13.1,3.7,2.1,7.8,.113,0.5,2.0
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0
32,32,CHO,Vernon Carey Jr.,Duke,2,24,133,54,32,2,.500,.143,.786,5.5,2.3,1.3,0.1,0.2,.070,-6.4,-0.1
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,2,99,2261,816,267,270,.360,.321,.768,22.8,8.2,2.7,2.7,-0.8,-.018,-5.1,-1.8
35,35,SAC,Xavier Tillman Sr.,Michigan State,2,99,1596,566,372,115,.522,.290,.644,16.1,5.7,3.8,1.2,4.1,.124,0.2,0.9
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,1,9,99,24,14,7,.391,.154,1.000,11.0,2.7,1.6,0.8,0.0,.020,-7.8,-0.1
38,38,UTA,Saben Lee,Vanderbilt,2,76,1188,404,163,238,.437,.299,.712,15.6,5.3,2.1,3.1,1.9,.078,-1.2,0.2
39,39,NOP,Elijah Hughes,Syracuse,2,37,238,91,38,16,.348,.309,.857,6.4,2.5,1.0,0.4,0.0,-.003,-3.8,-0.1
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,.278,.200,.500,3.5,1.1,1.1,0.2,-0.1,-.075,-7.8,-0.1
41,41,SAS,Tre Jones,Duke,2,86,953,344,113,168,.500,.222,.882,11.1,4.0,1.3,2.0,2.1,.104,-1.8,0.1
