Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,33.9,15.9,8.1,7.7,30.4,.156,3.7,13.5
2,2,LAL,Brandon Ingram,Duke,6,360,11821,6606,1842,1361,.459,.361,.765,32.8,18.4,5.1,3.8,17.7,.072,-0.4,4.7
3,3,BOS,Jaylen Brown,California,6,387,11021,6247,1900,756,.471,.372,.711,28.5,16.1,4.9,2.0,22.7,.099,0.0,5.5
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,.420,.305,.727,24.1,8.2,3.3,4.1,3.7,.032,-1.9,0.1
6,6,NOP,Buddy Hield,Oklahoma,6,449,13021,7138,1909,1091,.430,.400,.864,29.0,15.9,4.3,2.4,16.9,.062,0.2,7.3
7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,30.1,16.3,3.6,3.8,20.8,.096,0.3,6.0
8,8,SAC,Marquese Chriss,Washington,6,281,5248,2167,1343,293,.456,.290,.666,18.7,7.7,4.8,1.0,6.2,.056,-2.3,-0.4
9,9,TOR,Jakob Poeltl,Utah,6,399,7927,2806,2360,562,.629,.667,.512,19.9,7.0,5.9,1.4,27.3,.166,1.1,6.1
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,6,407,11533,5808,3722,1447,.534,.321,.726,28.3,14.3,9.1,3.6,34.5,.143,1.8,10.9
12,12,UTA,Taurean Prince,Baylor,6,352,8564,3706,1385,626,.414,.370,.820,24.3,10.5,3.9,1.8,7.6,.042,-1.8,0.4
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.045,-1.8,0.2
15,15,DEN,Juancho Hernangómez,,6,282,4362,1487,948,177,.424,.345,.693,15.5,5.3,3.4,0.6,7.1,.078,-2.0,0.0
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,6,319,6608,3285,779,390,.430,.383,.808,20.7,10.3,2.4,1.2,9.3,.068,-1.1,1.5
20,20,IND,Caris LeVert,Michigan,6,303,8318,4444,1158,1197,.436,.333,.737,27.5,14.7,3.8,4.0,11.5,.067,-0.4,3.4
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,290,5623,1750,942,530,.475,.283,.611,19.4,6.0,3.2,1.8,4.4,.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,,6,313,5024,1859,623,279,.390,.334,.828,16.1,5.9,2.0,0.9,4.3,.041,-4.1,-2.6
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,26,PHI,Furkan Korkmaz,,5,242,4633,1966,555,335,.407,.359,.769,19.1,8.1,2.3,1.4,7.2,.075,-1.6,0.5
27,27,TOR,Pascal Siakam,New Mexico State,6,380,10994,5751,2347,1129,.486,.326,.775,28.9,15.1,6.2,3.0,30.0,.131,1.4,9.5
28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,5,306,7759,3643,1805,1421,.454,.327,.761,25.4,11.9,5.9,4.6,15.0,.093,1.5,6.8
30,30,GSW,Damian Jones,Vanderbilt,6,183,2619,912,592,137,.660,.276,.705,14.3,5.0,3.2,0.7,7.7,.142,-1.3,0.4
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
32,32,LAL,Ivica Zubac,,6,342,6403,2792,2182,372,.599,.100,.754,18.7,8.2,6.4,1.1,24.5,.183,0.7,4.3
33,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3
34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1
35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon,Virginia,6,327,9840,5026,1367,1559,.464,.378,.884,30.1,15.4,4.2,4.8,24.1,.117,1.1,7.8
37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
38,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6
39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4
43,43,HOU,Zhou Qi,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2
44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
