Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,7,464,15906,10724,5274,1434,.527,.396,.833,34.3,23.1,11.4,3.1,63.5,.192,4.8,27.4
2,2,LAL,D'Angelo Russell,Ohio State,7,408,11979,7280,1456,2247,.421,.359,.778,29.4,17.8,3.6,5.5,13.6,.055,0.7,8.1
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0
4,4,NYK,Kristaps Porziņģis,,6,320,9907,5995,2499,487,.442,.353,.816,31.0,18.7,7.8,1.5,25.1,.121,1.5,8.8
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,421,9274,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.4,.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,7,398,7892,2482,1235,569,.381,.300,.756,19.8,6.2,3.1,1.4,5.5,.033,-2.8,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,.429,.348,.743,21.0,9.4,4.1,1.6,15.3,.092,-0.3,3.4
10,10,MIA,Justise Winslow,Duke,7,311,8044,2601,1592,781,.414,.318,.637,25.9,8.4,5.1,2.5,8.1,.048,-2.0,0.0
11,11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,.489,.349,.768,28.7,12.7,6.7,1.2,33.1,.128,0.7,8.3
12,12,UTA,Trey Lyles,Kentucky,7,430,7731,3285,1832,449,.439,.337,.726,18.0,7.6,4.3,1.0,13.3,.083,-1.1,1.8
13,13,PHO,Devin Booker,Kentucky,7,463,15583,10780,1803,2150,.454,.354,.870,33.7,23.3,3.9,4.6,27.6,.085,0.3,9.0
14,14,OKC,Cameron Payne,Murray State,7,261,4531,1924,559,767,.421,.365,.835,17.4,7.4,2.1,2.9,7.1,.075,-0.6,1.6
15,15,ATL,Kelly Oubre Jr.,Kansas,7,460,11687,5563,2009,467,.434,.330,.753,25.4,12.1,4.4,1.0,16.9,.069,-1.8,0.5
16,16,BOS,Terry Rozier,Louisville,7,458,11811,5657,1783,1419,.414,.374,.815,25.8,12.4,3.9,3.1,22.2,.090,0.5,7.4
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,7,390,8138,2855,1258,1191,.452,.353,.796,20.9,7.3,3.2,3.1,21.4,.126,2.0,8.3
21,21,DAL,Justin Anderson,Virginia,6,232,3041,1203,585,160,.412,.293,.776,13.1,5.2,2.5,0.7,4.7,.074,-1.4,0.4
22,22,CHI,Bobby Portis,Arkansas,7,434,9335,4801,2825,517,.471,.388,.751,21.5,11.1,6.5,1.2,20.2,.104,-0.6,3.4
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,7,438,7975,2631,758,1597,.436,.342,.825,18.2,6.0,1.7,3.6,17.9,.108,0.3,4.6
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,7,387,9345,3144,2538,739,.528,.330,.684,24.1,8.1,6.6,1.9,24.3,.125,1.1,7.3
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,7,347,5614,1623,1623,447,.564,.172,.610,16.2,4.7,4.7,1.3,18.8,.161,-0.4,2.3
31,31,MIN,Cedi Osman,,5,310,7670,3107,1021,666,.421,.351,.719,24.7,10.0,3.3,2.1,6.9,.043,-2.5,-0.9
32,32,HOU,Montrezl Harrell,Louisville,7,440,9540,5717,2356,607,.618,.118,.660,21.7,13.0,5.4,1.4,39.4,.198,2.9,11.8
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,6,289,4367,2089,1681,308,.537,.314,.691,15.1,7.2,5.8,1.1,13.5,.148,0.2,2.4
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,7,372,7861,3586,2152,401,.606,.256,.745,21.1,9.6,5.8,1.1,26.6,.162,0.5,4.9
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,7,420,12566,5044,1321,1129,.428,.362,.834,29.9,12.0,3.1,2.7,23.0,.088,-0.5,4.8
41,41,BRK,Pat Connaughton,Notre Dame,7,406,7483,2367,1355,505,.447,.366,.791,18.4,5.8,3.3,1.2,17.6,.113,0.0,3.7
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,7,419,9378,4732,1083,623,.462,.382,.831,22.4,11.3,2.6,1.5,19.6,.100,-0.2,4.3
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
57,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
